Phase,Epic,Tache,Description,Echeance
Zero,Problem definition,Find 3 different subjects,"Choose topics that matters to you, but keep some healthy distance. If the subject is too personal, it may blur your perspective and make it harder to design with objectivity. Aim for a subject that sparks your curiosity, connects with your values, and challenges you intellectually. Remember: /  / Make it personal, but not too personal → Passion helps, but too much involvement can cloud judgment. /  / Go for AWESOME → Pick a subject big enough to inspire bold, creative solutions.",
Zero,Project,Share your project on Neocampus," / 📌 How to copy and share your project on Notion + Neocampus /  / 1. Duplicate the project board / ◦ In the top-right corner, click on the ••• (three dots) menu. / ◦ Select “Duplicate” → it will be added to your own Notion workspace. /  / 2. Work on your copy / ◦ This copy is now yours: you can edit, add content, and personalize it as your project evolves. /  / 3. Make your board shareable / ◦ In your project page, click Share (top-right). / ◦ Toggle on “Anyone with the link”. / ◦ Copy this link. /  / 4. Share it on Neocampus / ◦ Go to https://neocampus.lecolededesign.com/campus/projets/detail/8044. / ◦ Paste your Notion link (Anyone with the link) in the field provided so we can access your project.",
Zero,,✅ Deliverables,"• 3 subjects (theme, interest, potential, personal motivation). / • A problem statement for each. / • Slides (PDF) on Neocampus",10/11/2025
Zero,Problem definition,Write a problem statement for each subject,,
One,Secondary research,Artistic and creative research,"Studying and analyzing remarkable works that could inspire the project’s design, aesthetics, or storytelling.",
One,Secondary research,Direct and indirect competitive research,"Selecting and analyzing notable projects to identify strengths, weaknesses, and opportunities.",
One,Problem definition,BONUS Crazy 8 (ideation),"Crazy 8 is a way of pressure cooking ideas: in 8 minutes, you’ll have to find 8 different ideas for your problem statement. The goal is not to find your final solution but discover the creative potential of your problem statement and strategic axes.",
One,Expert research,List the experts for your project,,
One,Problem definition,Define your problem,Translate your subject into a precise challenge to solve. Phrase it as a problem statement that shows why it matters.,
One,Secondary research,Social research,"Collecting user testimonials, verbatim quotes, statistics, author citations, and experience maps to understand user perspectives.",
One,Secondary research,Economic research,,
One,Secondary research,Legal research,Reviewing essential regulations and standards required to ensure the project’s feasibility and compliance.,
One,Expert research,Write an interview guide for your experts,,
One,User research,End-user persona,"Once you have defined your strategic axes, you can start to imagine who your end-user will be and create personas. This will help you a lot for phase 2, because you’re going to conduct user research based on your personas.",
One,Other research,Conduct a survey,,
One,Secondary research,Technological research,Identifying key innovations that could shape or influence the project’s development.,
One,Expert research,Conduct expert interviews,,
One,Expert research,Reach out to experts,,
One,Problem definition,Define the strategic axes for your project,"Now you’re an expert about your topic, you can define the strategic axes: how are you going to tackle your problem during the next 2 phases?",
One,,✅ Deliverables,• Final chosen subject + clear problem statement. / • Strategic axes defined (at least 2) / • Research synthesis (expert + secondary). / • Presentation slides / PDF on Neocampus,06/01/2026
Two,User testing,Prepare your ideas for user testing,,
Two,Ideation,Brainstorming session,Brainstorming is a creative thinking process used to generate a large number of ideas in a short time.,
Two,Ideation,Idea classification (impact vs. feasibility matrix),,
Two,Ideation,Serendipity,The unexpected discovery of great ideas when you’re not actively looking for them.,
Two,Other research,Business model research,The goal is to have some first ideas about how your projects can be financed (who pays for it) and what the main costs are,
Two,Other research,Direct and indirect competitive research,"Selecting and analyzing notable projects to identify strengths, weaknesses, and opportunities.",
Two,Ideation,Crazy 8,"Crazy 8 is a rapid ideation exercise where participants generate 8 ideas in 8 minutes. / It helps unlock creativity, push beyond obvious solutions, and generate a variety of concepts quickly.",
Two,Other research,Conduct a survey,,
Two,User testing,Plan interviews with at least 5 of your end-users,,
Two,User testing,Conduct your user interviews,,
Two,User testing,Write an interview guide,,
Two,Ideation,Scamper,SCAMPER is a structured brainstorming tool to refine and evolve ideas. Purpose: Helps break out of conventional thinking by applying seven different creative prompts. It's a great framework for those with great ideas... that have been done before.,
Two,,✅ Deliverables,"• Documentation of ideation sessions. / • 2 concept directions, tested with user research. / • Benchmarks & secondary research. / • Presentation slides / PDF. / ",04/03/2026
Three,Art direction,UI design,,
Three,User research,Write an interview guide,,
Three,Expert feedback,Contact your experts from phase 1,,
Three,User research,Prepare your solution for user testing,,
Three,Art direction,Moodboard,,
Three,Art direction,Branding,,
Three,Prototype,Create the storytelling around your prototype,"Trailer, landing page, explaning video, app store screens…? Suprise us",
Three,Other research,User survey,,
Three,Art direction,Naming,,
Three,User research,Conduct your user interviews,,
Three,Expert feedback,Prepare your presentation for feedback,,
Three,Prototype,Create the prototype for your product,"Name, moodboard, brand",
Three,Prototype,Design secondary assets,How do people discover your solution? How do they share it with others? How do secondary users interact with your product? Etc.,
Three,Prototype,UX blueprint,"A UX blueprint is a visual map of all interactions and touchpoints in the user journey. Without it, features may be developed in isolation, creating gaps or inconsistencies. It ensures a shared understanding and helps align design, development, and business teams.",
Three,Prototype,User scenarios,"User scenarios describe how a person might use a product or service in a specific context. Without scenarios, design decisions risk being abstract and disconnected from reality. They make use cases concrete and highlight where friction or opportunities appear. / ",
Three,,✅ Deliverables,"• One developed concept with prototype. / • Defined art direction / UI (identity, look & feel). / • Final presentation slides / PDF. / + Portfolio presentation /  / • Final package: PDF presentation + sources (.zip) + project fiche on Neocampus.",08/06/2026
Three,Project,Write a portfolio presentation for your project,,
